0ath Oath
0f of
Aud And
aUowed allowed
awav away
Begular Regular
Beign Reign
Bemoval Removal
Bepair Repair
Bepairs Repairs
Bepeal Repeal
Bepresentations Representations
Betail Retail
Bevision Revision
Biding Riding
Bntry Entry
Boads Roads
Boyal Royal
cbapel chapel
Cbapel Chapel
Cburcb Church
Cburch Church
certaiu certain
churcb church
Churcb Church
Churcn Church
Churoh Church
Churohes Churches
cliurch church
Cliurch Church
Cnurch Church
Compauy Company
cxciseable exciseable
Fenalty Penalty
ivithin within
ivith with
Kailway Railway
Koyal Royal
Marcn March
peijury perjury
Peijury Perjury
Penally Penalty
saia said
samc same
Schcdulc Schedule	
Schedulc Schedule
snbject subject
snch such
Sneriff Sheriff
sucb such
sucn such
tbat that
Tbat That
tbe the
Tbe The
tlie the
Tlie The
tne the
Tne The
virtne virtue
Vncancies Vacancies
wbicb which
wbich which
whicb which
wnich which
Yerdict Verdict
Yestry Vestry
Yicarage Vicarage
yirtne virtue
coutrary contrary
beginuing beginning
Healtli Health
sucli such
eacli each
