biihop bishop
Biihop Bishop
ccclef eccles
ccmmi commi
Ccmmi Commi
cftabli establi
clcrk clerk
Clcrk Clerk
deceaf deceas
Deceaf Deceas
fcttlc settle
fcttle settle
Firft- First-
foap- soap-
horfe horse
Horfe Horse
inftru instru
Inftru Instru
Majcf Majes
majeft majest
Majeft Majest
mifpr mispr
Prifon Prison
rcfpcft respect
tbem them
tranf trans
Tranf Trans
conlider consider
Conlider Consider
Adminidra Administra
adminidra administra
Judice Justice
Obferv Observ
obferv observ
Obje& Object
eftabhfh establish
Eftabhfh Establish
eftabHfh establish
EftabHfh Establish
Caftle Castle
Juttice Justice
Jutticc Justice
Breecb Breech
Prcferv Preserv
auarte quarte
Au&io Auctio
au&io auctio
Hulban Husban
hulban husban
Conrts- Courts-
conrts- courts-
Liccnf Licens
liccnf licens
Coramission Commission
coramission commission
Fifiier Fisher
fifiier fisher
affembl assembl
Affembl Assembl
Prifbn Prison
prifbn prison
rcspect respect
