0n on
10n ion
1ng ing
1ngly ingly
1on ion
a£t act
abfe able
ablc able
ablcd abled
a-ble able
ablv ably
a-bly ably
a&cd acted
acturc acture
acturcs actures
Aed cted
aftcr after
agc age
agcs ages
ahce ance
ahces ances
ahlc able
ahle able
aifed aised
aigbt aight
aigbts aights
ain-ed ained
ainft ainst
Aions ctions
ajions asions
akcn aken
akcr aker
alcd aled
aljy ally
alJy ally
allv ally
al-ly ally
altv alty
ampcd amped
ancc ance
,and ,\ and
andiiig anding
andmg anding
applc apple
arcb arch
arcber archer
arch-ed arched
arch-er archer
arch-ers archers
arcli arch
arfh arsh
argc arge
arv ary
astlc astle
atb ath
atcb atch
atejy ately
a|ty alty
aufe ause
auje ause
aUy ally
aycd ayed
bcd bed
bclla bella
bcll bell
bclle belle
bclls bells
bclly belly
bcnch bench
bcr ber
bcrg berg
beatb heath
becb bech
beforc before
bencb bench
bencli bench
bilh bish
b-ing bing
biUs bills
blcd bled
blifbed blished
blifbing blishing
blifhment blishment
blifiiment blishment
blifiimeut blishmeut
bli(hcd blished
bli(hed blished
bli(hing blishing
bli(hment blishment
blijbment blishment
blijbments blishments
blijbmeut blishment
blijhment blishment
blijhmeut blishment
blilh blish
blilhcd blishcd
blilhed blished
blishinent blishment
blv bly
-bmlt -built
bnrgh burgh
bnry bury
bornc borne
borongh borough
borougb borough
borougk borough
borougn borough
borovgb borough
borovgh borough
boufc house
boufcs houses
boufe house
boufes houses
boume bourne
bournc bourne
bouses houses
brtdge bridge
bUJhed blished
burfed bursed
burgli burgh
burv bury
-bwlt -built
cafion casion
caflcr caster
cafter caster
cajler caster
cajlle castle
caJter caster
castlc castle
catc cate
cbarge charge
cbarging charging
cbcftcr chester
cbcfter chester
cbcster chester
cbefler chester
cbeftcr chester
cbefter chester
cbeJler chester
cbequer chequer
cbestcr chester
cbester chester
cbifm chism
cbing ching
cburch church
ccfter cester
ccjler cester
ccnfcd censed
cdvely ctively
ceafed ceased
cefer cester
ceffor cessor
ceffors cessors
cefler cester
cefter cester
cejfor cessor
cejfors cessors
cejj cess
cejjion cession
cejler cester
ceJler cester
cenfcd censed
cenfed censed
cercd cered
chapcl chapel
charg-ed charged
chcd ched
chcftcr chester
chcftcr chester 
chcfter chester
chcfter chester 
chcJfer chester
chcjlcr chester
chcjler chester
chcjter chester
chclfea chelsea
chcljey chelsey
chclsea chelsea
chcstcr chester
chcster chester
cheflcr chester
chefler chester
cheftcr chester
chefter chester
chejlcr chester
cheJter chester
chelfea chelsea
chelfey chelsey
chestcr chester
chifm chism
ch-ing ching
chnrch church
ciaj cial
ciaJ cial
cicnt cient
cicntly ciently
cifcd cised
cifm cism
cijed cised
ciouily ciously
cioujly ciously
ckcd cked
ckcn cken
clijfe cliffe
cljffe cliffe
-clofe -close
clofed closed
clof-ing closing
clofing closing
clofure closure
clofures closures
clufive clusive
cmbled embled
cnce ence
counf count
courfe course
courfes courses
coverv covery
craftfmen craftsmen
crcd ered
creafe crease
creafed creased
crihed cribed
crs ers
ctcd cded
ctcd cted
ctioh ction
ctiohs ctions
ctlon ction
ctlv ctly
curcd cured
cutioh cution
cutiohs cutions
d0n don
d1ction diction
datc date
dcd ded
dcnt dent
dcr der
dcth deth
d-ed ded
dercd dered
dfon dson
dgcd dged
di6t dict
diag ding
dic-tion diction
dict-ion diction
dic-tions dictions
dict-ions dictions
dihg ding
dije dise
dilh dish
d-ing ding
dipg ding
diqg ding
djng ding
dlcy dley
dlefex dlesex
dmg ding
dolpb dolph
drcd dred
drefTed dressed
dtng ding
duA duct
,Duke ,\ Duke
eacb each
eafcd eased
eafed eased
,Earl ,\ Earl
eascd eased
eCt ect
eedihg eeding
eediug eeding
eedmg eeding
eedmgs eedings
effioa ession
eflbr essor
eflbrs essors
efTcd essed
efTes esses
eht ent
eigbt eight
eigbts eights
eightb eighth
eITcd essed
eiTed essed
ejght eight
ejler ester
elpb elph
emblc emble
encc ence
engtb ength
engtn ength
enlv enly
entb enth
entjy ently
entJy ently
ent-ly ently
entv enty
ercd ered
er-ed ered
erfham ersham
ermoft ermost
ertcn erton
ertlon ertion
ervcd erved
ervc erve
ervcs erves
erv-ed erved
esscs esses
estv esty
etber ether
etb eth
etli eth
evcd eved
evcr ever
eventb eventh
f1eld field
fadtured factured
fadture facture
fadtures factures
fajd said
fa&ure facture
fbip ship
fbips ships
fbire shire
fbrd ford
fccond second
fcience science
fclk folk
fclvcs selves
fclves selves
fcnt fent
fcrd ford
fcrgus fergus
fcribed scribed
fcribe scribe
fcribes scribes
fcttlc settle
fcttle settle
fcx sex
felvcs selves
felves selves
fervants servants
fexto sexto
ffary ssary
f-fer ffer
f-fers ffers
f-fion ssion
fh1re shire
fhcd shed
fhcr sher
fh-ed shed
fhed shed
fhell shell
fhing shing
fhipped shipped
fhipping shipping
fhip ship
fhips ships
fhirc shire
fhire shire
fhirey shire,
fh-ment shment
fhment shment
fhoe shoe
fhop shop
ficd fied
ficld field
fiderabie siderable
fiderable siderable
fideration sideration
-fiflh -fifth
fiftn fifth
fign-ed signed
-fireet -street
-firfl -first
fivc five
-fixtli -sixth
flcr fler
fliip ship
fliips ships
fliire shire
fline stine
flrators strators
flrator strator
flreet street
-flrft -first
-flrst -first
-flxth -sixth
fmitb smith
fmitbs smiths
fmith smith
fmiths smiths
focvcr soever
focver soever
fonable sonable
-fon son
,for ,\ for
fortb forth
fpector spector
fpectors spectors
fpital spital
fpitals spitals
fpondence spondence
fponding sponding
fpond spond
fqaare square
fquare square
fsly ssly
ftainers stainers
ftainer stainer
ftand stand
ftants stants
ftant stant
ftaple staple
ftcr fter
ftdly fully
fteads steads
ftead stead
ftencc stence
ftence stence
ftical stical
ftick stick
ftieet street
ftine stine
ftlccs stices
ftlcc stice
ftlces stices
ftlce stice
ftng fing
ftock stock
ftody stody
ftoke stoke
ftoms stoms
ftonc stone
ftones stones
ftood stood
ftrates strates
ftrate strate
ftrator strator
ftrcct street
ftrcet street
ftream stream
-ftrect -street
ftreet street
ftrong strong
ftv fty
fullv fully
fumcd fumed
fummer summer
furc sure
furv fury
fwcr swer
fwortb sworth
fworth sworth
gatc gate
gatey gate,
gcd ged
gfng ging
ghtb ghth
giag ging
gihg ging
gIi gii
giug ging
glcd gled
gncd gned
grefiors gressors
groffcd grossed
groffed grossed
groffing grossing
grofTed grossed
grovc grove
gtng ging
guifed guised
guifhed guished
guifh guish
guiflied guished
guifli guish
guifliing guishing
gui(hed guished
