Augufla Augusta
Auguflus Augustus
Buttolpbes Buttolphes
Cavendifb Cavendish
Chrifiopher Christopher
Chriftopber Christopher
Chriftophers Christophers
Chrijiopher Christopher
ChriJIopher Christopher
Chrijlopher Christopher
Chrlfopher Christopher
Chrlftopher Christopher
Ckriftopher Christopher
Ckrijlopber Christopher
Dickenfon Dickenson
Edivard Edward
Eliab Eliah
Fitzvvilliam Fitzwilliam
FitzwDliam Fitzwilliam
Fitzwiliiam Fitzwilliam
FitzwiUiam Fitzwilliam
fVilliam William
Ifabel Isabel
IVilliam William
Jcfepb Joseph
Jofepb Joseph
Jofeph Joseph
Jphn John
JVilliam William
Nicholfon Nicholson
Oeorge George
Robinfon Robinson
Sufannah Susannah
Tbompfon Thompson
Thompfon Thompson
tvilliam William
Watfon Watson
Wilkinfon Wilkinson

